id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
c8779341e1728431,"Japanese article / Merging two articles 
The Japanese version of this article talks about both Golden Sun titles, instead of just the first title of the series.  Shouldn't both English articles about both titles be merged together? I believe this will help raise the priority.  Also, why not send a translator to find information in the Japanese article that the English one lacks?",0,0,0,0,0,0
931c0e3bda9a0cbd,") 86.22.33.61  
 As above   19:23, 10 August 2012 (UTC",0,0,0,0,0,0
cd2d286774d34525,"Now, if the account is, indeed, a WP:SOCK or being used to evade a block, then indefinite is likely infinite",0,0,0,0,0,0
e249c842bee6b36f,P.S. Are you a new user or do you have another account on Wikipedia?,0,0,0,0,0,0
90eed603e03b1aa8,Ania Abdullah (born on october 22 1995),0,0,0,0,0,0
d3bf44e5e4866f4a,"""::I agree. the users seem to have very similar edits and I think you should place an entry at WP:RCU. Cheers, AX 

""",0,0,0,0,0,0
5277bb6646b78d90,"It's on http://www.acgov.org/MAPS/rov/ElectionResults/Default.aspx , but it's very hard to find. One has to click and zoom and find Piedmont to see the results. They mirror the county results closely although not perfectly. 76.102.193.102",0,0,0,0,0,0
401a36094ffa5eab,"""
Precisely.   (Go Colts!) """,0,0,0,0,0,0
fd7034a0b93b91af,"Im not sure I should post this here but 

The United States needs to go drop a few bombs on North Korea warning them to Knock it off 
They dont realize how powerful we really are

But That is my opinion
=)",0,0,0,0,0,0
b58bc33c05908881,"Health care is rationed in the United States.  This happens in public hospitals that provide care for the uninsured and those patients participating in socialized systems such as Medicare and Medicaid.  For example, there is a greater demand for dialysis, Xigirs, colonoscopies, and new technologies like HeartMate than what is being supplied to these patients.  Instead of spending more money to meet the demand, demand is artificially lowered through denial of treatment or waiting times.  This is rationing in the normal sense of the term.  Rationing is not normally used to refer to being unable to afford certain health care services in a free market system.",0,0,0,0,0,0
8fa7f1f2f7fa7b21,Can someone explain why a firm with so much positive work has been defined by Wiki only for controvery ? NY Times and Biz Week featured the firm - Why not much more on the positive they have done ? User:unsignd,0,0,0,0,0,0
18b09f1bcca983e4,"Thanks, I was wondering what the policy on that was nowadays, so I figured I’ll just try to change it somewhere and see if anybody complains. -) I’ll put it back. P.S. Is it customary to reply like I’m doing right now or should I reply on your talk page? —",0,0,0,0,0,0
f6fd7c3e874a8e1f,"""

 Please do not continue to violate Wikipedia's neutral point of view policy, as you did with this edit to Tibia (computer game). If you continue to do so, you will be blocked from editing.   (Questions or Comments?) """,0,0,0,0,0,0
f6c987cd0bb360af,"Peer Review 

While a peer review would help, I doubt that the article would pass a GAN. It simply isn't there yet. The unsourced information would definitely be pointed out. I think a more appropriate move would to get it listed into the proper projects and then have it assessed. Then, after that. I think a GAN would be a wonderful move.  Speak Page",0,0,0,0,0,0
03e5b93b5b12c622,"""

 Speedy deletion of """"List of famous people with dreadlocks"""" 

A page you created, List of famous people with dreadlocks, has been tagged for deletion in accordance with our deletion policy. In particular, it meets one or more criteria for speedy deletion; the relevant criterion is:

No content. Any article consisting only of external links, category tags and """"see also"""" sections, rephrasing of the title, and/or chat-like comments.

You are welcome to contribute content which complies with our content policies and any applicable inclusion guidelines. However, please do not simply re-create the page with the same content. You may also wish to read our introduction to editing and guide to writing your first article.

If you have any questions, please contact an administrator for assistance. Thank you gabsadds """,0,0,0,0,0,0
710cd4b34b955aac,Is the disabiling traction control at engine startup serious? can someone confirm?,0,0,0,0,0,0
a4c0b68fbe539aaa,"""

 What is a """"scalar force""""?  

At the start of the current article there appears a list of pointers to other article, and the last item on the list says """"For the scalar force that appears in polar coordinates, see the article on polar coordinates"""". I checked the article on polar coordinates, and the word """"scalar"""" doesn't appear there. So, what exactly IS a """"scalar force""""? And why does the article point to another article for explanation of something that isn't even mentioned in the other article? Surely something is amiss.63.24.61.29  
Of course, you are correct in pointing out the absurdity of a """"scalar"""" force. This pointer should be removed altogether, but I have only edited it to remove the absurdity. The history of this article shows that this pointer was a concession to a long, drawn out battle that apparently exhausted all parties and led to this compromise.   
Any single dimension is a scalar- a scalar is simply a single number. There's nothing absurd about a scalar force any more than there is about a scalar acceleration. What is 9.81 m/s^2?- () WolfKeeper (Talk) 

I don't understand the """"corrected"""" version. The acceleration component that it refers to (i.e., the one that arises in stationary polar coordinates) is explicitly described and given the name """"centrifugal force"""" in countless reputable references, including:

(1) """"An Introduction to the Coriolis Force"""" By Henry M. Stommel, Dennis W. Moore, 1989 Columbia University Press. 
(2) """"Methods of Applied Mathematics"""" By Francis B. Hildebrand, 1992, Dover, p 156.
(3) """"Statistical Mechanics"""" By Donald Allan McQuarrie, 2000, University Science Books. 
(4) """"Essential Mathematical Methods for Physicists"""" By Hans-Jurgen Weber, George Brown Arfken, Academic Press, 2004, p 843.

 This has been pointed out previously, with the relevant quotations. I don't think there can be any dispute of the fact that this particular acceleration term is indeed among the terms that are called (in contemporary reputable sources) centrifugal force. Needless to say, it's entirely a matter of convention as to what names we give certain terms appearing in certain equations, but since Wikipedia articles are supposed to reflect verifiable facts from reputable sources, I can't see any justification for excluding this particular fact from the article. I think any discussion of the contemporary (let alone the historical) concept of centrifugal force is incomplete if it doesn't include this. 

There are also other concepts that go under the name """"centrifugal force"""" but that are not yet mentioned in this article. And conversely, there are lots of things discussed at length in this article that are only indirectly related to the concept of centrifugal force. I understand that much of this material has been added as part of a tutorial on general physics being given to placate some of the editors here, but ultimately I think it detracts from the readibility and relevance of the article. 

Overall I think the present article has evolved into a lengthy set of notes that various people have made as they clarified in their own minds certain aspects and implications of the centrifugal force, as they responded to challenges from certain other editors. Sort of learning on the job. That's a commendable exercise, but it doesn't make for a very coherent article, and frankly, the",0,0,0,0,0,0
5331dc6691fb5d6a,also i want sex with you S meh call this number 2654431 for enjoyment meh.,1,0,0,0,0,0
cce7541067682910,"Affordable Housing As Opposed to Single Room Occupancy
Many newer SRO buildings in New York City in particular are actually quite comfortable more like small studio apartments/bachelor apartments than the traditional slum/flophouse/cage hotel
the newer buildings typically inlude a bathroom and kitchenette for each resident in the room",0,0,0,0,0,0
b82a18fd35459e11,"""

Taking the discussion to wider audience to gain a wider conesus on the issue, my views should not be the only ones if my views are not the conesus ill accept but i want to gaina conesus on this and have it achived for future reference for all editors. [] (talk - contrib) """,0,0,0,0,0,0
